Airline,flightCode,NumFlight,Departure,Source,Duration,Stops,Arrival,Destination,Price,Page_URL
AirAsia,I5,743,05:00,Delhi,06h 25m,"1-stop",11:25,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C01/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,13h 50m,"1-stop",18:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C01/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,06h 25m,"1-stop",11:25,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C02/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,06h 25m,"1-stop",11:25,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C03/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C03/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,13h 50m,"1-stop",18:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C03/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C04/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C05/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,06h 25m,"1-stop",11:25,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C06/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,13h 50m,"1-stop",18:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C06/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,745,12:45,Delhi,08h 05m,2+-stop,20:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C07/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,06h 25m,"1-stop",11:25,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C08/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,13h 50m,"1-stop",18:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C08/04/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Vistara,UK,929,21:20,Delhi,09h 00m,"1-stop",06:20,Mumbai,4191,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C28/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Vistara,UK,959,06:30,Delhi,23h 50m,"1-stop",06:20,Mumbai,4191,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C28/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Vistara,UK,959,06:30,Delhi,23h 50m,"1-stop",06:20,Mumbai,4191,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C29/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Vistara,UK,959,06:30,Delhi,23h 50m,"1-stop",06:20,Mumbai,4191,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C30/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2716,02:00,Delhi,02h 15m,non-stop ,04:15,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C17/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,5218,06:30,Delhi,02h 15m,non-stop ,08:45,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C17/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2112,04:45,Delhi,02h 30m,non-stop ,07:15,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C17/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,2716,02:00,Delhi,02h 15m,non-stop ,04:15,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C18/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,5218,06:30,Delhi,02h 15m,non-stop ,08:45,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C18/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
Indigo,6E,6814,07:15,Delhi,02h 25m,non-stop ,09:40,Mumbai,4199,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C18/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
