s,a,r,sp
6E184_25,b,15.846298980158235,travel
6E184_25,w,0.0,6E184_24
6E184_26,b,15.742416603656121,travel
6E184_26,w,0.0,6E184_25
6E184_27,b,11.464297686176304,travel
6E184_27,w,0.0,6E184_26
6E184_28,b,16.427299753198124,travel
6E184_28,w,0.0,6E184_27
6E184_29,b,16.208765431359364,travel
6E184_29,w,0.0,6E184_28
6E184_3,b,11.630043070903039,travel
6E184_3,w,0.0,6E184_2
6E184_30,b,12.661433274246646,travel
6E184_30,w,0.0,6E184_29
6E184_31,b,16.57908085674562,travel
6E184_31,w,0.0,6E184_30
6E184_32,b,15.792691070821437,travel
6E184_32,w,0.0,6E184_31
6E184_33,b,15.269778533078156,travel
6E184_33,w,0.0,6E184_32
6E184_34,b,16.57908085674562,travel
6E184_34,w,0.0,6E184_33
6E184_35,b,16.075176570341398,travel
6E184_35,w,0.0,6E184_34
6E184_36,b,16.318937050736196,travel
6E184_36,w,0.0,6E184_35
6E184_37,b,12.661433274246646,travel
6E184_37,w,0.0,6E184_36
6E184_38,b,16.57908085674562,travel
6E184_38,w,0.0,6E184_37
6E184_39,b,12.337742428602931,travel
6E184_39,w,0.0,6E184_38
6E184_4,b,16.250564911232292,travel
6E184_4,w,0.0,6E184_3
6E184_40,b,15.054461189456838,travel
6E184_40,w,0.0,6E184_39
6E184_41,b,13.915640271073606,travel
6E184_41,w,0.0,6E184_40
6E184_42,b,14.401568934073733,travel
6E184_42,w,0.0,6E184_41
6E184_43,b,14.25048234738587,travel
6E184_43,w,0.0,6E184_42
6E184_44,b,11.550247410981264,travel
6E184_44,w,0.0,6E184_43
6E184_45,b,14.25048234738587,travel
6E184_45,w,0.0,6E184_44
6E184_46,b,14.25048234738587,travel
6E184_46,w,0.0,6E184_45
6E184_47,b,14.021604757202706,travel
6E184_47,w,0.0,6E184_46
6E184_48,b,11.382136606021387,travel
6E184_48,w,0.0,6E184_47
6E184_49,b,12.862842092906753,travel
6E184_49,w,0.0,6E184_48
6E184_5,b,16.98113990798791,travel
6E184_5,w,0.0,6E184_4
6E184_6,b,14.585439778344458,travel
6E184_6,w,0.0,6E184_5
6E184_7,b,16.199578810950914,travel
6E184_7,w,0.0,6E184_6
6E184_8,b,20.911752404851526,travel
6E184_8,w,0.0,6E184_7
6E184_9,b,12.033694344163658,travel
6E184_9,w,0.0,6E184_8
6E2009_0,b,0.0,travel
6E2009_0,w,0.0,notravel
6E2009_1,b,0.0,6E2009_0
6E2009_1,w,0.0,6E2009_0
6E2009_10,b,0.0,6E2009_9
6E2009_10,w,0.0,6E2009_9
6E2009_11,b,0.0,6E2009_10
6E2009_11,w,0.0,6E2009_10
